Lyrics,Class
"I Have a Dream, a song to sing
To help me cope, with anything
If you see the wonder, of a fairy tale
You can take the future, even if you fail
I believe in angels
Something good in everything I see
I believe in angels
When I know the time is right for me
I'll cross the stream, I Have a Dream
I Have a Dream, a fantasy
To help me through, reality
And my destination, makes it worth the while
Pushin' through the darkness, still another mile
I believe in angels
Something good in everything I see
I believe in angels
When I know the time is right for me
I'll cross the stream, I Have a Dream
I'll cross the stream, I Have a Dream
I Have a Dream, a song to sing
To help me cope, with anything
If you see the wonder, of a fairy tale
You can take the future, even if you fail
I believe in angels
Something good in everything I see
I believe in angels
When I know the time is right for me
I'll cross the stream, I Have a Dream
I'll cross the stream, I Have a Dream",Energetic
"I'm hearing images, I'm seeing songs
No poet has ever painted
Voices call out to me, straight to my heart
So strange yet we're so well acquainted
I let the music speak, with no restraints
I let my feelings take over
Carry my soul away into the world
Where beauty meets the darkness of the day
Where my mind is like an open window
Where the high and healing winds blow
From my shallow sleep the sounds awake me
I let them take me
(Let them wake me, let them now, let them take me)
Let it be a joke
Let it be a smile
Let it be a farce if it makes me laugh for a little while
Let it be a tear
Let it be a sigh
Coming from a heart, speaking to a heart, let it be a cry
Some streets are emptiness, dry leaves of autumn
Rustling down an old alley
And in the dead of night I find myself
A blind man in some ancient valley
I let the music speak, leading me gently
Urging me like a lover
Leading me all the way
Into a place
Where beauty will defeat the darkest day
Where I'm one with every grand illusion
No disturbance, no intrusion
Where I let the wistful sounds seduce me
I let them use me
(All illusion, no disturbance, no intrusion)
Let it be a joke
Let it be a smile
Let it be a farce if it makes me laugh for a little while
Let it be a tear
Let it be a sigh
Coming from a heart, speaking to a heart, let it be a cry
Let it be a tear
Let it be a sigh
Coming from a heart, speaking to a heart, let it be a cry
Let it be the joy of each new sunrise
Or the moment when a day dies
I surrender without reservation
No explanations
No questions why
I take it to me and let it flow through me
Yes, I let the music speak
I let the music speak",Relax
"You're so free, "" that's what everybody's telling me
Yet I feel I'm like an outward-bound, pushed around, refugee
Something's wrong, got a feeling that I don't belong
As if I have come from outer space, out of place, like King Kong
I'm a marionette, just a marionette, pull the string
I'm a marionette, everybody's pet, just as long as I sing
I'm a marionette, see my pirouette, round and round
I'm a marionette, I'm a marionette, just a silly old clown
Like a doll, like a puppet with no will at all
And somebody taught me how to talk, how to walk, how to fall
Can't complain, I've got no one but myself to blame
Something's happening, I can't control, lost my hold, is it safe?
I'm a marionette, just a marionette, pull the string
I'm a marionette, everybody's pet, just as long as I sing
I'm a marionette, see my pirouette, round and round
I'm a marionette, I'm a marionette, just a silly old clown
""Look this way, just a little smile, "" is what they say
""You look better on the photograph if you laugh, that's okay""
I'm a marionette, just a marionette, pull the string
I'm a marionette, everybody's pet, just as long as I sing
I'm a marionette, see my pirouette, round and round
I'm a marionette, I'm a marionette, just a silly old clown
""You're so free, "" that's what everybody's telling me
Yet I feel I'm like an outward-bound, pushed around, refugee",Sad
"I still have faith in you
I see it now
Through all these years that faith lives on
Somehow
There was a union
Of heart and mind
The likes of which are rare
And, oh, so hard to find
Do I have it in me?
I believe it is in there
For I know I hear a bittersweet song
In the memories we share
I still have faith in you
And I will say
I never really thought I'd feel this way
But I remind myself
Of who we are
How inconceivable it is to reach this far
Do I have it in me?
I believe it is in there
For I know I hear a bittersweet song
In the memories we share
We do have it in us
New spirit has arrived
The joy and the sorrow
We have a story and it survived
And we need one another
Like fighters in a ring
We're in this together
Passion and courage is everything
I still have faith in you
It stands above
The crazy things we did
It all comes down to love
Do I have it in me?
I believe it is in there
For I know I hear a bittersweet song
In the memories we share
Do I have it in me?
We do have it in us
New spirit has arrived
The joy and the sorrow
We have a story and it survived
And we know that we need one another
Like fighters in a ring
We're in this together
Passion and courage is everything
and we still have it in us
We've only just begun
(Do I have it in me?)
We stand on a summit
Humble and grateful to have survived
I still have faith in you
It's stands above the crazy things we did
It all comes down to love
Do I have it in me?",Energetic
"I wasn't jealous before we met
Now every woman I see is a potential threat
And I'm possessive, it isn't nice
You've heard me saying that smoking was my only vice
But now it isn't true
Now everything is new
And all I've learned has overturned
I beg of you
Don't go wasting your emotion
Lay all your love on me
It was like shooting a sitting duck
A little small talk, a smile, and baby I was stuck
I still don't know what you've done with me
A grown-up woman should never fall so easily
I feel a kind of fear
When I don't have you near
Unsatisfied, I skip my pride
I beg you, dear
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
I've had a few little love affairs
They didn't last very long and they've been pretty scarce
I used to think I was sensible
It makes the truth even more incomprehensible
'Cause everything is new
And everything is you
And all I've learned has overturned
What can I do?
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me",Energetic
"Long awaited darkness falls
Casting shadows on the walls
In the twilight hour I am alone
Sitting near the fireplace
Dying embers warm my face
In this peaceful solitude
All the outside world subdued
Everything comes back to me again
In the gloom
Like an angel passing through my room
Half awake and half in dreams
Seeing long forgotten scenes
So the present runs into the past
Now and then become entwined
Playing games within my mind
Like the embers as they die
Love was one prolonged goodbye
And it all comes back to me tonight
In the gloom
Like an angel passing through my room
I close my eyes
And my twilight images go by
All too soon
Like an angel passing through my room",Sad
"I've always hated my room, it's so gloomy and dreary
Always the dark, for the windows just face the back yard
So I can't understand how it's happened, how everything's changing
This old dirty ceiling seems a little whiter
When you walked into the room it all got so much brighter
You must have a lovelight
Everything around you is lovelight
And I can feel your love anywhere (shining)
Maybe even when you're not there (shining)
The lovelight
Everything around you is lovelight
You're shining like a star in the night (shining)
I won't let you out of my sight (shining)
I don't want to lose you, I don't want to lose your lovelight
How I remember the first time we went to movie
We had decided to meet on the corner downtown
And I waited there when you came up from behind and you kissed me
And the traffic seemed to get a little lighter
When you came into my life it all got so much brighter
You must have a lovelight
Everything around you is lovelight
And I can feel your love anywhere (shining)
Maybe even when you're not there (shining)
The lovelight
Everything around you is lovelight
You're shining like a star in the night (shining)
I won't let you out of my sight (shining)
I don't want to lose you, I don't want to lose your lovelight
And I feel so good
And I feel so right
And I know that you must have a lovelight
You've got lovelight
And I can feel your love anywhere
Maybe even when you're not there
You've got lovelight
Everything around you is lovelight
You're shining like a star in the night (shining)
I won't let you out of my sight (shining)
I don't want to lose you, I don't want to lose your lovelight
Everything about you is right
Let it glow and let it be bright
I don't want to lose your lovelight
Shining like a star in the night",Sad
"I've been cheated by you since I don't know when
So I made up my mind, it must come to an end
Look at me now, will I ever learn
I don't know how, but I suddenly lose control
There's a fire within my soul
and I can hear a bell ring
(One more look) and I forget everything, whoa
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been brokenhearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My, my, I could never let you go
I've been Angry and Sad about things that you do
I can't count all the times that I've told you we're through
And when you go, when you slam the door
I think you know that you won't be away too long
You know that I'm not that strong
and I can hear a bell ring
(One more look) and I forget everything, whoa
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been brokenhearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, even if I say
Bye-bye, leave me now or never
Mamma mia, it's a game we play
Bye-bye doesn't mean forever
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been brokenhearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My, my, I could never let you go",Sad
"Did you see that man in the limousine
With the pretty doll, he is fifty and the girl's only seventeen
But she doesn't care, and she never will
If he's ninety-five she don't give a damn
Just as long as he pays the bill
Did you see that man with a fat cigar
He just left his lovers with a belly full of lobster and caviar
He can choose the wine from a vintage year
He will drink champagne in his limousine
Where the rest of the street can peer
'Cause he's the Man In The Middle, never second fiddle
Just like a spider in a cobweb
Hard as a hammer, not the kind of boss you double-cross
'Cause he's the Man In The Middle, knows the way to diddle
He's never bothered by his conscience
Deals with the Devil, 'cause he wants to be
Man In The Middle, the middle, the middle
In the middle (in the middle, in the middle...)
But you see that man made a big mistake
Even though he's got all his servants and a mansion beside a lake
And the money too, all that he can spend
He can buy the most, nearly anything
But he can't buy an honest friend
'Cause he's the Man In The Middle, never second fiddle
Just like a spider in a cobweb
Hard as a hammer, not the kind of boss you double-cross
'Cause he's the Man In The Middle, knows the way to diddle
He's never bothered by his conscience
Deals with the Devil, 'cause he wants to be
Man In The Middle, the middle, the middle
In the middle (in the middle, in the middle...)",Sad
"I've never felt this strong
I am invincible, how could this go wrong?
No, here, here's where we belong
I see a road ahead
I never thought I would dare to tread
Like an image passing by, my love, my life
In the mirror of your eyes, my love, my life
I can see it all so clearly
All I love so dearly
Images passing by
Like reflections of your mind, my love, my life
Are the words I try to find, my love, my life
But I know I don't possess you
With all my heart, God bless you
You will be my love and my life
You're my one and only
I held you close to me
Felt your heartbeat and I thought I am free
Oh, yes and as one are we
In the now and beyond
Nothing and no one can break this bond
Like an image passing by, my love, my life
In the mirror of your eyes, my love, my life
I can see it all so clearly
All I love so dearly
Images passing by
Like reflections of your mind, my love, my life
Are the words I try to find, my love, my life
But I know I don't possess you
With all my heart, God bless you
You are still my love and my life
Yes, I know don't possess you
With all my heart, God bless you
You are still my love and my life
You're my one and only",Sad
"No smiles, not a single word at the breakfast table
Though I would have liked to begin
So much that I want to say, but I feel unable
You leave and slam the door
Like you've done many times before
And I cry and I feel so helpless
One man, one woman
Two friends and two true lovers
Somehow we'll help each other through the hard times
One man, one woman
One life to live together
One chance to take that never comes back again
You and me, to the end
Outside I can see the sun through the open window
Inside everything feels so cold
What's wrong, what is happening, where did all our love go?
Sometimes when I just can't cope
I cling to a desperate Energetic
And I cry and I feel like dying
One man, one woman
Two friends and two true lovers
Somehow we'll help each other through the hard times
One man, one woman
One life to live together
One chance to take that never comes back again
You and me, to the end
Daydreams of a better life, but I have to wake up
The sound of the key in the door
You smile and I realize that we need a shake-up
Our love is a precious thing
Worth the pain and the suffering
And it's never too late for changing
One man, one woman
Two friends and two true lovers
Somehow we'll help each other through the hard times
One man, one woman
One life to live together
One chance to take that never comes back again
You and me, to the end
You and me, to the end",Sad
"Put on your white sombrero
Saddle your horse, my dear
And ride off into the sunset
You'd better go for there is no place for you here
Like an old fashioned hero
You stand before me, oh, oh, oh, oh
You think our life is a movie
My world is real, I live and feel and I can do without you
Put on your white sombrero
Your red bandana too
Think of this day as a showdown
Goodbye, my friend, this is the end for me and you
Now be a bold vaquero
Don't show your feelings, ah, ah, ah, ah
I'll cry while you're disappearing
Into the night all dressed in white unchained and free without me
Put on your white sombrero
Like all the cowboys do
Go find a sweet se¤orita
Somebody meek who'll never speak harshly to you
You're such a caballero
Proud, never bending, ah, ah, ah, ah
I want someone who will take me
Just as I am, I need a man who is in rhyme
With his time
Oh... You'll never take me
Just as I am, I need a man who is in rhyme
With his time",Sad
"Sitting in the darkest corner
In the candlelight I saw her face
She was looking so Sad and lonely
Someone help me, someone save me
I could see the look she gave me, oh
Oh yeah, and there was one thing only
That I knew I could do
Let's go girl
It's a beautiful place this world
Come on baby let's dance
To the rock'n'roll band
Let's go now
Let me show you that I know how
Come on baby let's dance
To the rock'n roll band
Come on baby let's dance
To the rock'n roll band
You've been sitting there for hours
Try to hide behind the flowers now
Baby, we could have fun together
Come on, cheer up, let's get started
No use being broken-hearted now
Oh yeah, you're gonna feel much better
Yes I know that you will
Let's go girl
It's a beautiful place this world
Come on baby let's dance
To the rock'n roll band
Let's go now
Let me show you that I know how
Come on baby let's dance
To the rock'n roll band
Come on baby let's dance
To the rock'n roll band",Happy
"? Look at her face, it's a wonderful face
And it means something special to me
Look at the way that she smiles when she sees me
How lucky can one fellow be
? She's just my kind of girl, she makes me feel fine
Who could ever believe that she could be mine
She's just my kind of girl, without her I'm blue
And if she ever leaves me what could I do, what could I do
? And when we go for a walk in the park
Then she holds me and squeezes my hand
We'll go on walking for hours and talking
About all the things that we plan
? She's just my kind of girl, she makes me feel fine
Who could ever believe that she would be mine
She's just my kind of girl, without her I'm blue
And if she ever leaves me what could I do, what could I do",Happy
"Frida
He stands
Towering over me beside my bed
Losing his head
Tells me
I must take him seriously
Droning on the usual way
He's such a clever guy
And I wonder
Should I laugh or cry
He's dressed
In the striped pyjamas that I bought
Trousers too short
Gives me
On his small philosophy
Carries on the way he does
And me I get so tired
And I wonder
Should I laugh or cry
Agnetha, Frida
High and mighty, his banner flies
A fool's pride in his eyes
Standing there on his toes
To grow in size
All I see is a big balloon
Halfway up to the moon
He's wrapped up in the warm
And save cocoon
Of an eternal lie
So should I laugh or cry
Frida
Strange how
Dangerously indifferent I have grown
Cold as a stone
No more
Pain as there was pain before
Far away he rambles on
I feel my throat go dry
And I wonder
Should I laugh or cry
Agnetha,
Frida High and mighty, his banner flies
A fool's pride in his eyes
Standing there on his toes
To grow in size
All I see is a big balloon
Halfway up to the moon
He's wrapped up in the warm
And save cocoon
Of an eternal lie
So should I laugh or cry",Relax
"See me sitting in the palm tree
Looking down at people passing by
Sitting here no-one can harm me
They just stare at me and wonder why
No need to bother, I'm gonna stay up here
Whatever happens, I won't let no-one near
Until you tell me, Jeanie Jeanie on my mind, won't you please
You really love me, Jeanie Jeanie you're so fine, yes you are now
And in the evening, when the sun goes down
I'll be the bluest of men in this town
'Cause I love you, Jeanie Jeanie on my mind
See me sitting in the palm tree
Waiting for those little words from you
People laugh and point their fingers
Like I was a monkey at the zoo
But I will stay here, among my coconuts
So you will know dear, you're everything I've got
Now won't you tell me, Jeanie Jeanie on my mind
Winds blow, stars glow, I see a light in a window
Dark trees, soft breeze, carry my message to her please
See me sitting in the palm tree
Feeling Angry at the silly crowd
No-one else but you can calm me
You should know by now I'm far too proud
I need to show you, I've got my feelings too
You shouldn't treat me like you always do
So won't you tell me, Jeanie Jeanie on my mind, won't you please
You really love me, Jeanie Jeanie you're so fine, yes you are now
And in the evening, when the sun goes down
I'll be the bluest of men in this town
'Cause I love you, Jeanie Jeanie on my mind
Jeanie Jeanie you're so fine
Jeanie Jeanie on my mind
Jeanie Jeanie you're so fine
Jeanie Jeanie on my mind
Jeanie Jeanie you're so fine",Sad
"You think you're gonna make me softer with your fancy car
But I can tell you all your tricks ain't gonna get you far
They say that money's got a magic touch
But not to me, it doesn't mean that much
You won't have me tonight
All right, all right, all right, all right
So long, see you honey
You can't buy me with your money
Tracy, Daisy, they may be crazy
But I'll never be your girl
So long, see you honey
You can't buy me with your money
You know it's not worth trying
So long, so long, so long
You didn't have to send me flowers like you did today
I wouldn't keep a thing from you, I gave them all away
The girls might fall for everything you've got
But I'm not one of them, you know I'm not
You won't have me tonight
All right, all right, all right, all right
So long, see you honey
You can't buy me with your money
Tracy, Daisy, they may be crazy
But I'll never be your girl
So long, see you honey
You can't buy me with your money
You know it's not worth trying
So long, so long, so long
So long, see you honey
You can't buy me with your money
You know it's not worth trying
So long, so long, so long
So long, so long, so long
So long, so long, so long",Sad
"Summer night city
Summer night city
Waiting for the sunrise, soul dancing in the dark
Summer night city
Walking in the moonlight, love-making in the park
Summer night city
In the sun, I feel like sleeping
I can't take it for too long
My impatience slowly creeping
Up my spine and growing strong
I know what's waiting there for me
Tonight I'm loose and fancy-free, ah-ah
When the night comes with the action
I just know it's time to go
Can't resist the strange attraction
From that giant dynamo
Lots to take and lots to give
Time to breathe and time to live
Waiting for the sunrise, soul dancing in the dark
Summer night city
Walking in the moonlight, love-making in the park
Summer night city
It's elusive call it glitter
Somehow something turns me on
Some folks only see the litter
We don't miss them when they're gone
I love the feeling in the air
My kind of people everywhere, ah-ah
When the night comes with the action
I just know it's time to go
Can't resist the strange attraction
From that giant dynamo
And tomorrow, when it's dawning
And the first birds start to sing
In the pale light of the morning
Nothing's worth remembering
It's a dream, it's out of reach
Scattered driftwood on a beach
Waiting for the sunrise, soul dancing in the dark
Summer night city
Walking in the moonlight, love-making in the park
Summer night city
Waiting for the sunrise, soul dancing in the dark
Summer night city
Walking in the moonlight, love-making in the park
Summer night city
Waiting for the sunrise, soul dancing in the dark
Summer night city
Walking in the moonlight, love-making in the park
Summer night city",Nature
"I believe your new girl turned you down
And they say she's pushing you around
How does it feel? I guess it hurts your pride
Tell me my friend, how many nights you cried
Disaster and disgrace
The king has lost his crown
Suddenly
He's clumsy like a clown
The world is upside down
The king has lost his crown
Was it hard to step down from your throne
And to know tonight you're all alone?
Oh what a shame, you really want that girl
She doesn't care, still you just dream of her
Disaster and disgrace
The king has lost his crown
Suddenly
He's clumsy like a clown
The world is upside down
The king has lost his crown
Disaster and disgrace
The world is all around
Suddenly
He's clumsy like a clown
The world is upside down
The king has lost his crown
Disaster and disgrace
The world is all around",Sad
